18:04:37.548 **********  A1  **********
18:04:37.579 48, 1647270277553, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:37.589 48, 1647270277588, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:37.590 48, 1647270277589, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:37.591 48, 1647270277590, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:37.591 48, 1647270277591, simStart
18:04:37.592 48, 1647270277592, name(agentA1)
18:04:37.593 48, 1647270277592, team(A)
18:04:37.593 48, 1647270277593, steps(750)
18:04:37.594 48, 1647270277593, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:37.595 48, 1647270277594, teamSize(1)
18:04:37.619 **********  A1  **********
18:04:37.620 49, 1647270277620, deadline(1647270281592)
18:04:37.620 49, 1647270277620, simStart
18:04:37.620 49, 1647270277620, thing(0,5,obstacle,)
18:04:37.621 49, 1647270277621, thing(-2,2,obstacle,)
18:04:37.621 49, 1647270277621, thing(0,3,obstacle,)
18:04:37.621 49, 1647270277621, thing(-4,1,obstacle,)
18:04:37.621 49, 1647270277621, deactivated(false)
18:04:37.622 49, 1647270277621, thing(0,1,obstacle,)
18:04:37.622 49, 1647270277622, thing(-2,0,obstacle,)
18:04:37.622 49, 1647270277622, thing(2,0,obstacle,)
18:04:37.622 49, 1647270277622, thing(2,-2,obstacle,)
18:04:37.623 49, 1647270277622, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:37.623 49, 1647270277623, thing(4,-1,obstacle,)
18:04:37.623 49, 1647270277623, thing(4,1,obstacle,)
18:04:37.624 49, 1647270277623, task(task0,137,10,[req(0,1,b2)])
18:04:37.625 49, 1647270277624, step(0)
18:04:37.625 49, 1647270277625, lastActionParams([])
18:04:37.625 49, 1647270277625, lastActionResult()
18:04:37.625 49, 1647270277625, requestAction
18:04:37.625 49, 1647270277625, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:37.625 49, 1647270277625, thing(-3,1,obstacle,)
18:04:37.626 49, 1647270277625, thing(-1,4,obstacle,)
18:04:37.626 49, 1647270277626, thing(-5,0,obstacle,)
18:04:37.626 49, 1647270277626, thing(-1,2,obstacle,)
18:04:37.626 49, 1647270277626, thing(1,3,obstacle,)
18:04:37.627 49, 1647270277627, thing(-1,0,obstacle,)
18:04:37.628 49, 1647270277627, thing(1,1,obstacle,)
18:04:37.628 49, 1647270277628, thing(3,-2,obstacle,)
18:04:37.629 49, 1647270277628, thing(3,0,obstacle,)
18:04:37.629 49, 1647270277629, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
18:04:37.630 49, 1647270277629, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:37.632 49, 1647270277631, thing(-4,0,obstacle,)
18:04:37.632 49, 1647270277632, thing(-2,1,obstacle,)
18:04:37.633 49, 1647270277633, thing(0,4,obstacle,)
18:04:37.635 49, 1647270277634, thing(-2,3,obstacle,)
18:04:37.636 49, 1647270277636, steps(750)
18:04:37.637 49, 1647270277637, thing(0,2,obstacle,)
18:04:37.638 49, 1647270277637, thing(2,1,obstacle,)
18:04:37.638 49, 1647270277638, thing(2,-1,obstacle,)
18:04:37.639 49, 1647270277639, thing(2,-3,obstacle,)
18:04:37.640 49, 1647270277639, thing(4,0,obstacle,)
18:04:37.640 49, 1647270277640, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:37.640 49, 1647270277640, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:37.641 49, 1647270277641, thing(0,0,entity,A)
18:04:37.641 49, 1647270277641, timestamp(1647270277589)
18:04:37.642 49, 1647270277641, thing(-3,0,obstacle,)
18:04:37.642 49, 1647270277642, role(default)
18:04:37.642 49, 1647270277642, thing(-1,3,obstacle,)
18:04:37.643 49, 1647270277642, thing(1,4,obstacle,)
18:04:37.643 49, 1647270277643, thing(-3,2,obstacle,)
18:04:37.643 49, 1647270277643, thing(1,2,obstacle,)
18:04:37.643 49, 1647270277643, thing(-1,1,obstacle,)
18:04:37.644 49, 1647270277643, norm(n1,10,198,[requirement(role,digger,1,)],14)
18:04:37.644 49, 1647270277644, score(0)
18:04:37.644 49, 1647270277644, thing(1,0,obstacle,)
18:04:37.645 49, 1647270277644, thing(5,0,obstacle,)
18:04:37.645 49, 1647270277645, thing(3,-1,obstacle,)
18:04:37.646 49, 1647270277646, thing(3,1,obstacle,)
18:04:37.647 49, 1647270277646, energy(100)
18:04:37.647 49, 1647270277647, name(agentA1)
18:04:37.648 49, 1647270277648, team(A)
18:04:37.648 49, 1647270277648, lastAction()
18:04:37.648 49, 1647270277648, teamSize(1)
18:04:37.649 49, 1647270277648, actionID(0)
18:04:37.704 $$$$$ RULE EXECUTION : If simulation starts for the first time : move randomly : n
18:04:37.825 **********  A1  **********
18:04:37.827 51, 1647270277827, simStart
18:04:37.828 51, 1647270277828, thing(0,5,obstacle,)
18:04:37.831 51, 1647270277830, thing(-2,2,obstacle,)
18:04:37.832 51, 1647270277832, lastAction(move)
18:04:37.833 51, 1647270277833, thing(0,3,obstacle,)
18:04:37.833 51, 1647270277833, thing(-4,1,obstacle,)
18:04:37.834 51, 1647270277833, deactivated(false)
18:04:37.835 51, 1647270277834, lastActionParams([n])
18:04:37.835 51, 1647270277835, thing(2,2,obstacle,)
18:04:37.836 51, 1647270277836, thing(2,0,obstacle,)
18:04:37.836 51, 1647270277836, thing(2,-2,obstacle,)
18:04:37.837 51, 1647270277837, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:37.838 51, 1647270277837, thing(4,-1,obstacle,)
18:04:37.838 51, 1647270277838, thing(4,1,obstacle,)
18:04:37.838 51, 1647270277838, task(task0,137,10,[req(0,1,b2)])
18:04:37.840 51, 1647270277838, step(1)
18:04:37.843 51, 1647270277842, requestAction
18:04:37.845 51, 1647270277844, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:37.847 51, 1647270277846, thing(-3,1,obstacle,)
18:04:37.849 51, 1647270277848, thing(-1,4,obstacle,)
18:04:37.851 51, 1647270277850, thing(-5,0,obstacle,)
18:04:37.856 51, 1647270277854, thing(-1,2,obstacle,)
18:04:37.858 51, 1647270277857, lastActionResult(success)
18:04:37.858 51, 1647270277858, thing(1,3,obstacle,)
18:04:37.859 51, 1647270277858, thing(1,1,obstacle,)
18:04:37.859 51, 1647270277859, thing(3,-2,obstacle,)
18:04:37.859 51, 1647270277859, thing(3,0,obstacle,)
18:04:37.860 51, 1647270277859, thing(3,2,obstacle,)
18:04:37.860 51, 1647270277860, timestamp(1647270277789)
18:04:37.860 51, 1647270277860, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
18:04:37.861 51, 1647270277860, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:37.861 51, 1647270277861, thing(-2,1,obstacle,)
18:04:37.861 51, 1647270277861, deadline(1647270281789)
18:04:37.862 51, 1647270277861, thing(0,4,obstacle,)
18:04:37.863 51, 1647270277863, thing(-2,3,obstacle,)
18:04:37.863 51, 1647270277863, steps(750)
18:04:37.863 51, 1647270277863, thing(0,2,obstacle,)
18:04:37.864 51, 1647270277864, thing(-2,-3,obstacle,)
18:04:37.864 51, 1647270277864, thing(2,1,obstacle,)
18:04:37.864 51, 1647270277864, thing(2,-1,obstacle,)
18:04:37.865 51, 1647270277865, thing(2,-3,obstacle,)
18:04:37.865 51, 1647270277865, thing(4,0,obstacle,)
18:04:37.865 51, 1647270277865, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:37.866 51, 1647270277866, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:37.866 51, 1647270277866, thing(0,0,entity,A)
18:04:37.867 51, 1647270277866, actionID(1)
18:04:37.867 51, 1647270277867, role(default)
18:04:37.867 51, 1647270277867, thing(-1,3,obstacle,)
18:04:37.867 51, 1647270277867, thing(1,4,obstacle,)
18:04:37.868 51, 1647270277867, thing(-3,2,obstacle,)
18:04:37.868 51, 1647270277868, thing(1,2,obstacle,)
18:04:37.868 51, 1647270277868, thing(-1,1,obstacle,)
18:04:37.868 51, 1647270277868, norm(n1,10,198,[requirement(role,digger,1,)],14)
18:04:37.869 51, 1647270277869, score(0)
18:04:37.869 51, 1647270277869, thing(-3,-2,obstacle,)
18:04:37.869 51, 1647270277869, thing(5,0,obstacle,)
18:04:37.869 51, 1647270277869, thing(3,-1,obstacle,)
18:04:37.870 51, 1647270277870, thing(3,1,obstacle,)
18:04:37.870 51, 1647270277870, energy(100)
18:04:37.870 51, 1647270277870, name(agentA1)
18:04:37.870 51, 1647270277870, team(A)
18:04:37.870 51, 1647270277870, teamSize(1)
18:04:37.884 $$$$$ RULE EXECUTION : When previous move is successful : move randomly : n
18:04:38.099 **********  A1  **********
18:04:38.099 54, 1647270278099, simStart
18:04:38.099 54, 1647270278099, thing(0,5,obstacle,)
18:04:38.099 54, 1647270278099, thing(-2,2,obstacle,)
18:04:38.100 54, 1647270278100, lastAction(move)
18:04:38.100 54, 1647270278100, thing(-4,-1,obstacle,)
18:04:38.101 54, 1647270278100, thing(0,3,obstacle,)
18:04:38.101 54, 1647270278101, deactivated(false)
18:04:38.101 54, 1647270278101, thing(-2,-2,obstacle,)
18:04:38.101 54, 1647270278101, lastActionParams([n])
18:04:38.102 54, 1647270278101, thing(2,2,obstacle,)
18:04:38.102 54, 1647270278102, thing(2,0,obstacle,)
18:04:38.102 54, 1647270278102, thing(2,-2,obstacle,)
18:04:38.102 54, 1647270278102, role(worker,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[2,1,1,0],0.3,1)
18:04:38.102 54, 1647270278102, thing(4,-1,obstacle,)
18:04:38.103 54, 1647270278103, thing(4,1,obstacle,)
18:04:38.103 54, 1647270278103, task(task0,137,10,[req(0,1,b2)])
18:04:38.103 54, 1647270278103, step(2)
18:04:38.103 54, 1647270278103, requestAction
18:04:38.104 54, 1647270278104, role(explorer,7,[rotate,move,adopt,clear,detach,survey,skip,attach],[3,0],0.3,1)
18:04:38.104 54, 1647270278104, thing(-1,4,obstacle,)
18:04:38.104 54, 1647270278104, thing(-5,0,obstacle,)
18:04:38.104 54, 1647270278104, thing(-1,2,obstacle,)
18:04:38.105 54, 1647270278104, lastActionResult(success)
18:04:38.105 54, 1647270278105, thing(1,3,obstacle,)
18:04:38.105 54, 1647270278105, thing(-3,-1,obstacle,)
18:04:38.105 54, 1647270278105, thing(3,-2,obstacle,)
18:04:38.105 54, 1647270278105, thing(3,0,obstacle,)
18:04:38.105 54, 1647270278105, thing(3,2,obstacle,)
18:04:38.106 54, 1647270278106, task(task1,119,40,[req(0,1,b1),req(69,1,b1)])
18:04:38.106 54, 1647270278106, role(default,5,[rotate,move,adopt,clear,detach,skip],[1],0.3,1)
18:04:38.106 54, 1647270278106, thing(0,4,obstacle,)
18:04:38.106 54, 1647270278106, thing(-2,3,obstacle,)
18:04:38.106 54, 1647270278106, steps(750)
18:04:38.106 54, 1647270278106, thing(-2,-3,obstacle,)
18:04:38.107 54, 1647270278106, thing(2,3,obstacle,)
18:04:38.107 54, 1647270278107, thing(2,1,obstacle,)
18:04:38.107 54, 1647270278107, thing(2,-1,obstacle,)
18:04:38.107 54, 1647270278107, thing(2,-3,obstacle,)
18:04:38.107 54, 1647270278107, timestamp(1647270277995)
18:04:38.108 54, 1647270278108, thing(4,0,obstacle,)
18:04:38.108 54, 1647270278108, role(digger,5,[rotate,move,adopt,clear,detach,skip],[1,0],1.0,5)
18:04:38.108 54, 1647270278108, role(constructor,5,[rotate,request,disconnect,move,submit,adopt,clear,detach,skip,attach,connect],[1],0.3,1)
18:04:38.108 54, 1647270278108, thing(0,0,entity,A)
18:04:38.108 54, 1647270278108, actionID(2)
18:04:38.109 54, 1647270278109, role(default)
18:04:38.109 54, 1647270278109, thing(-1,3,obstacle,)
18:04:38.109 54, 1647270278109, thing(1,4,obstacle,)
18:04:38.109 54, 1647270278109, thing(-3,2,obstacle,)
18:04:38.109 54, 1647270278109, thing(1,2,obstacle,)
18:04:38.110 54, 1647270278110, norm(n1,10,198,[requirement(role,digger,1,)],14)
18:04:38.110 54, 1647270278110, score(0)
18:04:38.110 54, 1647270278110, thing(-3,-2,obstacle,)
18:04:38.110 54, 1647270278110, thing(5,0,obstacle,)
18:04:38.110 54, 1647270278110, thing(3,-1,obstacle,)
